SNO,name,email,Completion%,totalTask,pendingTask,submittedTask,Unverified,TaskTotalMark,TaskAverageMark,TASK - 1,TASK - 2,TASK - 3,TASK - 4,TASK - 5,TASK - 6,TASK - 7,TASK - 8,TASK - 9,TASK - 10,TASK - 11,TASK - 12,TASK - 13,TASK - 14,TASK - 15,TASK - 16,TASK - 17,TASK - 18,TASK - 19,TASK - 20,TASK - 21,TASK - 22,TASK - 23,TASK - 24,TASK - 25,TASK - 26,TASK - 27,TASK - 28,TASK - 29
,,,,,,,,,,2022-7-7,2022-7-8,2022-7-12,2022-7-14,2022-7-15,2022-7-18,2022-7-19,2022-7-26,2022-8-1,2022-8-3,2022-8-4,2022-8-9,2022-8-24,2022-8-26,2022-8-29,2022-9-1,2022-9-6,2022-9-14,2022-9-16,2022-9-27,2022-9-28,2022-10-3,2022-10-6,2022-10-7,2022-10-10,2022-10-11,2022-10-12,2022-10-14,2022-10-17
1,Student1,student1@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
2,Student2,student2@gmail.com,79.31034483,29,6,23,19,31.6,10.89655172,7,-,-,-,-,-,8,9,-,7.6,-,-,-,-,-,-,-,-,NS,-,-,-,-,NS,NS,NS,-,NS,NS
3,Student3,student3@gmail.com,55.17241379,29,13,16,14,13,4.482758621,-,-,-,-,-,-,-,-,-,6,7,-,NS,NS,NS,NS,NS,NS,NS,-,-,-,-,NS,NS,NS,NS,NS,NS
4,Student4,student4@gmail.com,27.5862069,29,21,8,7,7.5,2.586206897,-,-,-,-,-,NS,-,NS,NS,7.5,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
5,Student5,student5@gmail.com,6.896551724,29,27,2,2,0,0,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
6,Student6,student6@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
7,Student7,student7@gmail.com,62.06896552,29,11,18,16,13.8,4.75862069,-,-,-,-,-,-,7,-,-,6.8,-,NS,-,-,-,NS,NS,NS,NS,-,-,-,NS,-,NS,NS,NS,NS,NS
8,Student8,student8@gmail.com,17.24137931,29,24,5,5,0,0,-,NS,-,-,NS,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
9,Student9,student9@gmail.com,41.37931034,29,17,12,10,13,4.482758621,7,-,-,-,-,-,-,-,-,-,6,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
10,Student10,student10@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
11,Student11,student11@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
12,Student12,student12@gmail.com,3.448275862,29,28,1,1,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
13,Student13,student13@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
14,Student14,student14@gmail.com,82.75862069,29,5,24,21,19,6.551724138,8,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,-,NS,NS,NS,NS
15,Student15,student15@gmail.com,86.20689655,29,4,25,25,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,NS,NS,NS
16,Student16,student16@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
17,Student17,student17@gmail.com,6.896551724,29,27,2,1,7,2.413793103,-,7,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
18,Student18,student18@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
19,Student19,student19@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
20,Student20,student20@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
21,Student21,student21@gmail.com,96.55172414,29,1,28,28,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS
22,Student22,student22@gmail.com,82.75862069,29,5,24,24,0,0,-,-,-,-,-,NS,-,-,-,-,-,NS,-,-,-,-,-,-,NS,-,-,-,-,-,-,NS,-,-,NS
