,SNO_x,name,email_x,Completion%_x,totalTask_x,pendingTask_x,submittedTask_x,Unverified_x,TaskTotalMark_x,TaskAverageMark_x,Attendance %,Mock 1 Attended,Mock 2 Attended,Webcode 1,Webcode 2,SNO_y,email_y,Completion%_y,totalTask_y,pendingTask_y,submittedTask_y,Unverified_y,TaskTotalMark_y,TaskAverageMark_y,TASK - 1,TASK - 2,TASK - 3,TASK - 4,TASK - 5,TASK - 6,TASK - 7,TASK - 8,TASK - 9,TASK - 10,TASK - 11,TASK - 12,TASK - 13,TASK - 14,TASK - 15,TASK - 16,TASK - 17,TASK - 18,TASK - 19,TASK - 20,TASK - 21,TASK - 22,TASK - 23,TASK - 24,TASK - 25,TASK - 26,TASK - 27,TASK - 28,TASK - 29
0,1,Student1,student1@gmail.com,79.31,29,6,23,19,31.6,10.9,100,YES,YES,7.4,7.2,1.0,student1@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
1,2,Student2,student2@gmail.com,55.17,29,13,16,14,13.0,4.48,90,YES,YES,6.5,5,2.0,student2@gmail.com,79.31034483,29.0,6.0,23.0,19.0,31.6,10.89655172,7,-,-,-,-,-,8,9,-,7.6,-,-,-,-,-,-,-,-,NS,-,-,-,-,NS,NS,NS,-,NS,NS
2,3,Student3,student3@gmail.com,27.59,29,21,8,7,7.5,2.59,93,NO,YES,6,NS,3.0,student3@gmail.com,55.17241379,29.0,13.0,16.0,14.0,13.0,4.482758621,-,-,-,-,-,-,-,-,-,6,7,-,NS,NS,NS,NS,NS,NS,NS,-,-,-,-,NS,NS,NS,NS,NS,NS
3,4,Student4,student4@gmail.com,6.9,29,27,2,2,0.0,0.0,10,NO,NO,NS,NS,4.0,student4@gmail.com,27.586206899999997,29.0,21.0,8.0,7.0,7.5,2.586206897,-,-,-,-,-,NS,-,NS,NS,7.5,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
4,5,Student5,student5@gmail.com,0.0,29,29,0,0,0.0,0.0,1,NO,NO,NS,NS,5.0,student5@gmail.com,6.896551724,29.0,27.0,2.0,2.0,0.0,0.0,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
5,6,Student6,student6@gmail.com,62.07,29,11,18,16,13.8,4.76,98,YES,YES,7,6,6.0,student6@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
6,7,Student7,student7@gmail.com,17.24,29,24,5,5,0.0,0.0,31,NO,YES,6.5,NS,7.0,student7@gmail.com,62.06896552,29.0,11.0,18.0,16.0,13.8,4.75862069,-,-,-,-,-,-,7,-,-,6.8,-,NS,-,-,-,NS,NS,NS,NS,-,-,-,NS,-,NS,NS,NS,NS,NS
7,8,Student8,student8@gmail.com,41.38,29,17,12,10,13.0,4.48,97,YES,YES,7,7,8.0,student8@gmail.com,17.24137931,29.0,24.0,5.0,5.0,0.0,0.0,-,NS,-,-,NS,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
8,9,Student9,student9@gmail.com,0.0,29,29,0,0,0.0,0.0,0,NO,NO,NS,NS,9.0,student9@gmail.com,41.37931034,29.0,17.0,12.0,10.0,13.0,4.482758621,7,-,-,-,-,-,-,-,-,-,6,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
9,10,Student10,student10@gmail.com,0.0,29,29,0,0,0.0,0.0,0,NO,NO,NS,NS,10.0,student10@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
10,11,Student11,student11@gmail.com,3.45,29,28,1,1,0.0,0.0,76,YES,YES,6.2,6,11.0,student11@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
11,12,Student12,student12@gmail.com,0.0,29,29,0,0,0.0,0.0,35,NO,NO,NS,NS,12.0,student12@gmail.com,3.448275862,29.0,28.0,1.0,1.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
12,13,Student13,student13@gmail.com,82.76,29,5,24,21,19.0,6.55,36,YES,YES,NS,NS,13.0,student13@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
13,14,Student14,student14@gmail.com,86.21,29,4,25,25,0.0,0.0,44,YES,NO,NS,NS,14.0,student14@gmail.com,82.75862069,29.0,5.0,24.0,21.0,19.0,6.551724137999999,8,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,-,NS,NS,NS,NS
14,15,Student15,student15@gmail.com,0.0,29,29,0,0,0.0,0.0,77,NO,YES,NS,NS,15.0,student15@gmail.com,86.20689655,29.0,4.0,25.0,25.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,NS,NS,NS
15,16,Student16,student16@gmail.com,6.9,29,27,2,1,7.0,2.41,26,NO,NO,NS,NS,16.0,student16@gmail.com,0.0,29.0,29.0,0.0,0.0,0.0,0.0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
16,17,Student17,student17@gmail.com,0.0,29,29,0,0,0.0,0.0,66,NO,NO,7,NS,17.0,student17@gmail.com,6.896551724,29.0,27.0,2.0,1.0,7.0,2.413793103,-,7,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
